taxon	lfc_(Intercept)	lfc_conditionactive_smoker	lfc_conditionex_smoker	lfc_conditionpassive_smoker	se_(Intercept)	se_conditionactive_smoker	se_conditionex_smoker	se_conditionpassive_smoker	W_(Intercept)	W_conditionactive_smoker	W_conditionex_smoker	W_conditionpassive_smoker	p_(Intercept)	p_conditionactive_smoker	p_conditionex_smoker	p_conditionpassive_smoker	q_(Intercept)	q_conditionactive_smoker	q_conditionex_smoker	q_conditionpassive_smoker	diff_(Intercept)	diff_conditionactive_smoker	diff_conditionex_smoker	diff_conditionpassive_smoker
Alistipes_A_871404 ihumii	0.0719221938932429	-0.132403593286991	-0.236135172348955	-0.0504994525938256	0.079719428614885	0.167105678621493	0.189770197939177	0.21423952701343	0.902191537782972	-0.792334493831864	-1.24432168440188	-0.235714918240367	0.36695512928048	0.428165663937344	0.213381193380712	0.813653892963521	0.997233545206974	0.930036363527287	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Alistipes_A_871404 indistinctus	-0.00684650134252984	0.231586296754668	-0.144250251263675	-0.0220082563900437	0.0923464427433627	0.19357407913018	0.219828503827418	0.248173607845162	-0.0741393077972343	1.19637039109417	-0.656194482299357	-0.0886808898864656	0.940899538209956	0.231552050531787	0.511698998623191	0.929335520350273	0.997233545206974	0.845383629609388	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
OLB9 sp001567255	-0.0153851962431867	0.0310160325652713	0.0442935066069716	0.183019770042033	0.0675914004006373	0.141683238693166	0.160899716115378	0.181646430532796	-0.227620616705578	0.218911092457737	0.275286418623695	1.00756050920026	0.819941190831006	0.826719305503231	0.783096197897229	0.313665495314528	0.997233545206974	0.971369081585372	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Fusobacterium_A mortiferum	-0.116117986190305	0.176583077096087	0.686497731492793	0.106376317449507	0.228703531896205	0.479402067534536	0.544423301463905	0.614622274031142	-0.507722750180369	0.36834024935315	1.26096316900262	0.173075923122365	0.61164779145752	0.712619544262366	0.207322117219208	0.862591749896129	0.997233545206974	0.960225392441361	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Scatocola faecipullorum	-0.0413100923350795	0.186141019046507	0.147310384087556	0.0305989898069863	0.136274284976174	0.285654416561516	0.324397684269401	0.366226136647669	-0.303139307186987	0.651630110562009	0.454104302314378	0.0835521737664078	0.761783699780043	0.514639818415344	0.649753756831222	0.933412493711228	0.997233545206974	0.945993607281169	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Desulfovibrio_R_446353 piger_A	0.018637278370725	0.303868068655606	-0.14318671331036	-0.420691044722776	0.136547145943552	0.28622638023355	0.325047223292558	0.366959428463819	0.136489695496305	1.06163543838154	-0.440510495244208	-1.14642386076273	0.891434170120883	0.288401219059294	0.659567412588361	0.251619814545997	0.997233545206974	0.845383629609388	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Mailhella massiliensis	-0.0796822899255991	0.366151039777064	0.0287623272052055	0.257289191501163	0.0858461756530702	0.179948397634246	0.20435477309684	0.230704664940255	-0.928198481987349	2.03475576660196	0.1407470291461	1.11523185527173	0.353304621733152	0.0418754538620946	0.88806979097711	0.264751078555104	0.997233545206974	0.562012670254427	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Bilophila wadsworthia	0.059135050266759	-0.0751772542488858	-0.471844710666364	0.291709191267999	0.130489216801785	0.273527915406785	0.31062646749552	0.350679233076534	0.453179593809547	-0.274843078217752	-1.51901000088851	0.831840507659417	0.650419425244418	0.783436800434476	0.128759978657464	0.405498975942866	0.997233545206974	0.960620788038167	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Victivallis lenta	-0.0412679776016857	0.35544274963379	0.0177378503610369	-0.107461663253489	0.0779500342454586	0.163396722699589	0.185558196855469	0.209484422525195	-0.529415772567027	2.17533585595401	0.095591844831586	-0.512981643017225	0.596517059071402	0.0296049574460598	0.92384474242053	0.607964161637507	0.997233545206974	0.562012670254427	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Akkermansia muciniphila_D_776786	0.276835124543777	-0.467909328787245	-0.882680043206858	-0.70216344479115	0.192972732094368	0.404504145505779	0.459366984970768	0.518598634846053	1.43458156776471	-1.15674791960954	-1.92151389212925	-1.35396315688257	0.151406370159911	0.247375365398176	0.0546669526824027	0.175748132313563	0.997233545206974	0.845383629609388	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Bifidobacterium bifidum	0.0342309063350259	-0.00183146024236126	-0.131171428956266	-0.0382627558444208	0.124080958862069	0.260095100967397	0.295371762352813	0.333457557334011	0.275875578726608	-0.00704150226416928	-0.444089265376647	-0.114745505096154	0.782643631648309	0.994381740486729	0.656978047181571	0.908646844260176	0.997233545206974	0.994589427260746	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Bifidobacterium longum	-0.122454212347702	0.326802844861408	0.578818941202895	0.0403714797903443	0.181449497773124	0.380349457939359	0.431936200580603	0.487630873115416	-0.674866637001183	0.859217327748925	1.34005656489281	0.0827910659807402	0.499760498853879	0.390220625199895	0.180226955807294	0.934017673054295	0.997233545206974	0.930036363527287	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Bifidobacterium catenulatum	0.115710571593656	-0.306016283529722	0.0013053618840126	-0.503709490013733	0.172506352794178	0.361603082850086	0.410647257316194	0.463596893148527	0.670761219627161	-0.846276754937377	0.0031787911906288	-1.08652473184792	0.502372656029941	0.397398372162505	0.99746369585842	0.277246905071262	0.997233545206974	0.930036363527287	0.999125797841935	0.993464214136497	FALSE	FALSE	FALSE	FALSE
